а	而，却，可是
высокий  高的，质量好的
выставочный  展览（会）的
Г


герой  英雄，勇士
глазной  眼睛的，眼科的
голос  声音，嗓子
голубой  淡蓝色的
городок  小城镇
городской  城市的，市立的
государственный  国家的，国有的，国立的
государственный экзамен  国家考试
грамматика  语法
грустно  忧郁地

Д


дательный падеж  第三格，与格
Дворец спорта  体育馆 
длинный  长的
двухтысячный  第二千
девочка  女孩子，小姑娘
дежурный  值日的，值班的
дело  事情，公务，
детский  孩子的
джинсы  牛仔裤
диалог  对话
диск  圆盘，铁饼，光盘
добросовестно  认真地，勤恳地
добрый  善良地
дождь 雨
дополнять – дополнить  补充，附加
дорогой  亲爱的，昂贵的
драматический  戏剧的，紧张的
древний  古代的

Е


единственное число  单数
единственный  一的，唯一的
ездить  乘，骑，拜访，参观

Ж


жаловаться – пoжаловаться 埋怨，诉苦，提出控诉
желать – пожелать  望，祝愿 
железнодорожный  铁路的
желтый  黄色的

З


загорать – загореть  晒黑
задавать – задать  提出，制定，安排
заканчивать – закончить  完成，结束
занятие  功课，作业，占用
записывать – записать  记录下来，录音，登记
запоминать – запомнить  记住，记牢
зарубежный  国外的
звонить – позвонить  打电话，打钟

здоровье 健康
зимний  冬季的
зубной  牙齿的

И


именительный падеж  第一格，主格
индийский  印度的，印度人的
инструмент  工具，仪器

иранский  伊朗的，伊朗人的
искусство  艺术
использовать  利用，使用
исторический  历史的

К


каблук  鞋后跟
каникулы  假期
картинная галерея  画廊，美术馆
кинокомедия  喜剧影片
классический  经典的，古典的
клоун  丑角，小丑
кожаный  皮的
коллекция  收藏品
конференция  代表会议
концертный  音乐厅，剧场
коричневый  褐色的
короткий  短的
корреспондент  新闻记者
комплекс  合，综合体，总体，套
композитор  作曲家
консерватория  音乐学院
конструкция  结构，构造
конфеты  糖果
космонавт  宇航员
кофта  女短衫
красный  红色的
крепость  强度，硬度
кроссовки  运动鞋，旅游鞋
к сожалению 遗憾
кто-то  某人
курс  方针，航向，课程，年级，市价

Л


ласковый  温柔的
легкий  容易的，轻的
лежать  躺，卧
лететь – полететь  飞行
летний  夏季的
ливанец  黎巴嫩人
ливанский  黎巴嫩人
лингвистический  语言学的
литература  文学，文献，书籍
литературный  文学的
лучше  好些，较好
лучший  比较好的，最好的，更好的
любимый ，可爱的，心爱的 

М


мальчик  男孩子
матч  比赛
медсестра  女护士
мелодия  旋律，曲调
мемориальный  纪念的
местоимение  代词
меховой  毛的，毛皮的
микротекст  小文章
младший  年幼的
множественное число  复数
мода  时髦
модель  模式，样子
молодежный  青年的
молодость  青春
молодой  年轻的
монета  硬币
мост  桥
музыкальный  音乐的
мягкий  柔软的，轻柔的

Н


набережная  码头，靠岸处
наверх  往上，向上
назад  向后，退回，在…以前
наоборот  相反
направление 方向，路线，派遣
наречие  方言
научный   科学的，学术的
национальный   民族的，国家的
недалеко  不远
незнакомый  陌生的
некрасивый  不好看的
немолодой  不年轻的
неодушевленный  无生命的
неожиданность  意外
непослушание  违命，不听话
нижний  下边的
новогодний  新年的
новость  新闻
нравиться  – понравиться  喜欢，爱好

О


обобщать – обобщить  概括，总结
обсуждать – обсудить  讨论，商量
общительный  好交际的，平易近人的
одет, -а, -ы  穿上
одушевленный  兴奋的，有生命的
оканчиваться – окончиться  结尾，结束
окончание  完结，结束，毕业
Олимпийские игры  奥林匹克运动会
описывать – описать  描写，叙述，登记
опытный  试验的，有经验的
особенно  特别是，尤其是
оставаться  – остаться  停留，留下，保存下来
отделение   分开，机构
открывать – открыть 打开，开放
отмечать – отметить  作记号，标出，登记
оценка   评定，评价，评分
очки  眼镜

П


памятник  纪念碑
певица  女歌手
первокласcник  一年级学生
первоклаcсница  一年级女学生
передник  围裙
перчатки  手套
печатать  – напечатать  印刷，打印
пианино  钢琴
пиджак  西装上衣
писательница   女作家
письменно  书面的
плавать  游泳
плащ  雨衣
пограничный  边界的，国界的，边防的
подтверждать – подтвердить  确认，肯定
поздравлять – поздравить 祝贺，道喜
полезный  有益的，有用的
политика  政治，政策
политический  政治的
полиция  警察
полчаса  半小时
польский  波兰的，波兰人的
популярный  通俗的，普及的，流行的
портрет  肖像
порядок  秩序
посещать – посетить 访问，探望，参观
посылать – послать  派遣，寄出，发出
последний  最后的
поэзия 诗篇
поэтому   因此，所以，因而
праздник  纪念日，节日
праздничный  节日的，假日的
практика 实践，实习
предложный падеж  第六格，前置格
предместье  郊区，城郊
прекрасный  非常美丽的，非常好的
прилагательное  形容的
пример  例子，示例
профессия  职业
прошлый  过去的，上次的
путешествовать  旅行
пуща  茂密的森林
пятнадцать  十五

Р


работница  女工作人员
рабочий  工人
расположен, -а, -ы  支配，布置，排列
реагировать – отреагировать  反应，对待
реплика  艺术复制品，拷贝，副本
ресторан  饭店，餐馆
рисовать – нарисовать  画图，描绘
роман  长篇小说
ругать – выругать  辱骂，责骂，批评
рынок  市场

С


cалат  色拉
светлый  明亮的
свитер  绒线衫
сдавать – сдать  экзамен交给，交到，通过－考试及格
северный  北方的
сегодняшний  今天的
семейный  有家的，家庭的
середина  中间，中部
серьезный  严肃的，认真的，严重的
сидеть – посидеть  坐，坐一坐
сильный  强壮的
синий  蓝色的
ситуация  情况，形势，地势
скобка  括号
сложный  复杂的，复合的，繁难的
смешной  可笑的
собеседник  交谈者
собирать – собрать  收集，集合，装配
советовать – посоветовать  建议，劝告
совсем  完全，一点也不
сообщать – сообщить  通知
соседний  相邻的，隔壁的
сочинение  作品，文章，作文
спектакль  戏剧
спорить – поспорить  争吵，争论
спортивный  体育运动的
способный  有才能的，有能力的，聪明的
справка  表，证件，证明，消息
средний  中间的，平均的
средняя школа 中学
ставить – поставить  供给，提供，放置，摆放，供应 
старинный 古老的
стать  成为，开始
стоматологический  口腔学的
стоять 站立
стучать – постучать  敲打，跳动
существительное 名词
счастливый 幸福的，幸运的
Т


таблица  表格
такой, -ая, -ое, -ие  这样的
талантливый  天才的，有才能的
темно-зелёный  深绿的
темно-синий  深蓝的
темный  黑暗的
теннис  网球
тихий  安静的，温和的
толстый  粗的，厚的，胖的
тонкий  薄的，细的，精细的，精巧的，清秀的，尖细的
трактор  拖拉机
тракторный завод  拖拉机工厂
трансформировать 变化，纠正
тридцать 三十
тринадцатый  十三
трудолюбивый  勤劳的
турист  旅行者
туфли  鞋，便鞋

У


убивать – убить  打死，杀死
уважать  尊敬，尊重
угол  角，角度，角落
удовольствие  高兴，快乐
умный  聪明的，有道理
универсальный  多方面的，包罗万象的
университетский  大学的
употреблять – употребить  应用，运用，利用
успех  成功，成绩，成效
уставать – устать 疲倦，劳累
утренний 早晨的，清晨的
ученый  学者，科学家
учительница 女教师
уютный  舒适的

Ф


форма  形式
фотографировать – сфото-
графировать  照相，拍照
футбол  足球
футбольный  足球的


Х


халат 长袍，工作服
характер  性质，特点，性格
хвалить – похвалить  称赞，赞扬
химический  化学的
художественный 艺术的


Ц


цвет  颜色，花朵
цветной  有色的，彩色的
цветок  花，花朵
цветы  颜色，花朵
центральный  中心的，中央的

Ч


через  穿过，经过，通过
честный  诚实的
чистить – почистить  弄干净，打扫
чисто  纯正的，纯洁的
чистый  干净的
читальный зал  阅览室
члены семьи  家庭成员  

Ш


шахматы  国际象棋
школьный  学校的，学生的

шумный  吵闹的
шутить  开玩笑


Э


энергичный  精力充沛的，有力的
эстрадный  文艺节目的，舞台的

Ю


южный  南方的  
юный  年轻的，青春的      

Я


яйцо  鸡蛋
яркий  明亮的，晴朗的

ясно  晴朗
ящик  盒，箱，抽屉

Часть  3

СЛОВАРЬ


А


август	八月
авиационный	航空的，
军用的
австрийский	奥地利，
奥地利人
автогонки	汽车比赛
Академия музыки	音乐学院
Академия наук	科学院
активно	积极地
аллея	林荫道
альбом	集，册，照相薄，纪念册
алюминий	铝
анализировать –
проанализировать	分析，化验
进行分析，进行化验
аналогия	模拟，类似，类推，类比
антоним	反义词
антракт	幕间休息
Арабские Эмираты	阿拉伯酋长国
архитектор	建筑师
аспирантура	研究生部
ассистент	助手，助教
Африка	非洲
африканец	非洲人


Б


база	基地，场
базар	市场
Байкал	贝加乐湖
балерина	女芭蕾舞演员
баллада	歌谣，民歌
банан	香焦
барометр	气压计，气压表
бег	跑，奔跑，赛跑
бедный	贫乏的，穷苦的
Беловежская пуща	白俄罗斯最大的森林
беречь –
сберечь	珍藏，爱护，保护好，保藏好
билет	票，券
биография	履历，传记，生平
бледный	暗淡的，平淡的
близко	近的，接近，靠近
богатый	丰富的，富有的，富丽的
бодро	精神饱满的
бодрый	朝气蓬勃的
бокс	拳击，拳术
боксёр	拳击运动员，
боль	痛，疼痛，痛苦
больной	有病的
бороться	摔交，斗争，奋战
братская могила	烈士公墓
брать – взять	拿，取
бритва	剃刀
бриться – 
обриться	刮脸，刮胡子
брюшной	腹部的，腹腔的
букет	花束，一束（花）
бутерброд	带奶油的面包片
бывший	原先的
бык	牛
быстрее	快的，迅速的


В


ванная	浴室，洗澡室
вбегать –
вбежать	跑入，跑进
вдохновлять – вдохновить	鼓舞，号召
вегетарианец	吃素的人
ведро	桶，提桶，水桶
вежливый	有礼貌的，客气的
Великая Отечественная война	伟大的国家战争、
величайший	伟大的（最高级）
велосипедный	自行车的
верить –
поверить	相信，信仰，有信心
вес	重，分量
веселиться – повеселиться	愉快的，开心
весить	称重，称量
ветеран	老兵，阅历多的人
ветеринарный	兽医学的
вешалка	挂钩，存衣间
вешать –
повесить	挂，悬挂，绞死
вещество	物质，材料
взрослый	成年的，成年人
вид	形式
видеокамера	摄像机
видеомагнитофон	录像机
видеться –
увидеться	见面，会面，碰见
видно	可以看到，显然
виртуозно	技艺高超地，造诣深地，精彩地
висеть	悬挂，挂着，吊着
влиять –
повлиять	影响，起作用

влюблённый	
钟情的，迷恋的
внимание	注意，用心
внимательный	注意的，细心的
внутренний	内部的，内在的
во время	在...时间
верный	正确的，牢固的
возвращать – вернуть	返回
возвращаться – вернуться	返回
воздух	空气，大气
война	战争
вокруг	周围，四周，在...周围
волейбольный	排球的
волнение	波涛，风潮，激动，焦急，不安
волноваться	起波浪，激动不安
во сколько?	什么时候
воспитанный	有教养的，有礼貌的
воспитывать – воспитать	教育
восстанавливать – восстановить	恢复，修复，翻新
восточный	东方的
впереди	在...前面
всемирный	全世界的
всё-таки	仍然，还是，到底，究竟


встречаться – встретиться	

相遇，遇到
вуз	高等学校
входить – войти	走入，进入
входить в состав	加入，参加
входной	入口的
выбегать –
выбежать	跑出，跑开
выбирать –
выбрать	选择，挑选
выбор	选择
выдающийся	杰出的，卓越的，优秀的
выздоравливать – выздороветь	病愈，恢复健康
вызывать –
вызвать	叫出来，请出来，号召
выключать – выключить	除去，开除，切断，关闭
выполнять – выполнить	实现，履行，完成
выпускник	毕业生，应届毕业生
выпускница	女毕业生
выражать –
выразить	表现，表露，表明
выражающий	表现
высоко	高
высший	高级的，高等的
вытираться – вытереться	擦干，磨损，磨破
выходить –
выйти	走出，出来
выходной	出口的

Г


гараж	车库
ген	基因
генетик	遗传学家
гимнастика	体操
гистология	<生物>组织学
глазной врач	眼科医生
глубина	深度
глубокий	深的，深远的，深刻的
головной	头部的，主要的
гордость	自尊心，自豪
горный	山的，山地的
гостиная	客厅
государство	国家
гражданин	公民，国民
грамотный	识字的，有文化的
граница	界限，边界，国界
Греция	希腊
гриб	蘑菇
громкий	大声的，著名的
грудной	胸部的
грустить	忧愁，发愁
груша	梨树，梨
грязный	脏的，肮脏的，下流的
губительно	有害的
гуманный	人道的，仁爱的
гусиный	鹅的


Д


давление	压力，压强
далёкий	远的，遥远的
далеко	远
дальновидный	有远见的，深谋远虑的
дальтоник	色盲患者
дата	日期
дача	别墅
двигаться	移动，走动
движение	运动，移动
двоюродный	叔伯的
дерево	树木，木材
держать –
подержать	拿着，抱着，支持
детство	童年时代
дешевле	便宜的
дешевый	廉价的
деятельность	活动，工作
диафрагма	光圈，光阑，横隔膜
дикий	野生的
диплом	毕业证书
дисциплинированный	守纪律的
длина	长度
до	到达，在...之前
добросовестный	认真的，勤恳的
договариваться – договориться	谈妥，约定

доезжать –
доехать	驶到，（乘车，马）到达
доктор наук	博士学位
документальный	文件的，有凭据的
долгий	长期的，长久的
должен,
должна, -ы	应当
дописывать – дописать	写完，画完，写到

дополнительный	
补充的，附加的
дороже	昂贵的（比较级）
доходить –
дойти	走到，到达
драматург	剧作家
дружить	交好，要好
душа	心，心灵，内心


Е, Ё


Европа	欧洲
европейский	欧洲的
еда	食物
есть – поесть	吃东西


Ж


железо	铁
живой	活的，有生命的
живопись	写生画
животное	动物
животный мир	动物世界
житель	居民，住户
журнальный	杂志的，期刊的


З


заботливый	关心的
забывать –
забыть	忘记
зависеть	依附，依赖
завтрашний	明天的
за границей	在国外
за границу	出国
заканчиваться – закончиться	完成，结束
закрывать –
закрыть	关闭，盖上
заниматься	学习，工作
записка	字条，便条
записная книжка	记事本
запрещать –запретить	禁止
за рубежом	在国外
заслушиваться – заслушаться	听的出神
заходить –
зайти	顺路到，顺路拜访，走到，深入
зачет	测验，小考
зачетная книжка	考试本
защита	保护
заявление	声明
звонок	铃，铃声
здороваться – поздороваться	打招呼，问好
здоровый	健康的
зелёный	绿色的
зимний	冬天的，冬季的
знакомство	相识，熟悉
значение	意思，意义
знающий	了解的
знания	知识
зрительный	视力的，视觉的
зубр	野牛


И


игрушка	玩具
изменять –
изменить	改变
измерять –
измерить	测量
изучаемый	研究，查明，了解，学会
именные части речи	名词
интеллигентный	有知识的，有文化修养的
интереснее	有趣的，
有意思的
（比较级）
интересы	兴趣，趣味
Интернет	英特网
информация	信息
искусствовед	艺术学家，艺术理论家
Испания	西班牙
исполняться – исполниться	实现，届满
исправлять – исправить	修理，修复，改正
источник	源泉，来源
исчезать –
исчезнуть	消失，失踪




К


камень	石头，岩石，石块
канал	渠道，管道
картофель	土豆
Каспийское
море	里海
кататься –
покататься	（乘马，
车，
船）玩一会
качество	质量
каша	饭，粥，稀饭
керамика	陶器工业，陶器
кинофестиваль	电影节
кипяток	开水
китайский	中国的
климат	气候，天气
клиника	附属医院
клиническая больница	附属医院
клумба	花坛，花池
ковёр	地毯
колбаса	香肠，腊肠
количество	数量
колодец	水井
колхоз	集体农庄
команда	口令，命令，队，组
комендант	要塞司令，警备司令
комиссар	政治委员
комплекс	综合，综合体
компьютер	计算机，电脑
комфортабельный	舒适的
конный	马的
консультация	协商，咨询会议
консультироваться –	商讨，咨询

проконсультироваться	
咨询，商讨
континент	大陆
космонавтика	航天学，宇宙航行学
котёнок	猫崽儿
кран	龙头，开关
краска	油漆，颜料，色调，色泽
крепкий	坚硬的
крест	十字架
крестьянский	农民的
крик	叫声，喊声
круглый	圆的，圆形的
кружок	小组
крупный	有名望的，重要的
культурный	文化的，文化上的
кумир	偶像，神像
курить	吸烟
куртка	上装，上衣


Л


лаборант	试验员
лабораторный	实验室的
ласка	爱抚
латинский язык	拉丁语
легко	轻巧的
легкомысленный	轻佻的，轻率的
ленивый	懒惰的
лесной	树林的，
森林的
лётчик	飞行员
лечащий	治病，医治
лечебный	医疗用的，医用的
лечить	治病，治疗
лимон	柠檬
лингафонный кабинет	语音室
лингвист	语言学家
лифт	电梯
лицо	脸，面孔
лишний	剩余的，过量的
ловкий	灵活的，灵巧的，敏捷的
луна	月亮
лыжи	滑雪板
лыжный	滑雪的，滑雪板的
любоваться – полюбоваться	欣赏，观赏
люстра	枝形吊灯



М


майонез	蛋黄酱，沙拉子油
мебель	家具
медленный	慢的，缓慢的
медь	铜
между	在...之间
международный	国际的
мел	粉笔
мемориальный комплекс	纪念中心
меньше	较少
мероприятие	措施，办法
местонахождение	所在地，位置
металл	金属
механик	力学专家，机械师
мешать –
помешать	打扰，妨碍
микроб	微生物
микробиолог	微生物学
мимо	从旁边（过去）
Минское море	明斯克海
мириться –
помириться	讲和，和解
мировой	世界的，宇宙的
митинг	集会，大会
мнение	意见，见解
мобильный
телефон	手机
модный	时髦的，流行的
молчать –
замолчать	沉默
момент	瞬间，时刻
морской	海的，海洋的
московский	莫斯科的
моющий	有洗涤效力的，有去垢作用的
мудрость	智慧，智谋
музыкальный	音乐的
мыслить	思维，考虑
мысль	思维，思想
мыть – вымыть	洗，洗涤


Н


набирать –
набрать	获得，积累，招收，增加
наблюдать – понаблюдать	观察，观看
навстречу	迎面，迎接
награда	奖赏，奖励
надёжный	可靠的，可以信赖的
название	名称
назови (те)	叫，称作
называть – назвать	命名，称为
накануне	前夜，前夕，在...前一天
напротив	在对面，在对过
напряжённо	紧张地，不自然地
напряжённый	紧张的，不自然的
Нарочь	白俄罗斯最大的湖
наследственный	遗传的，继承的
настольный	桌上的
настоящий друг	现在的朋友
находить –
найти	找到，发现
начинаться – начаться	开始
начитанный	学问渊博的
небольшой	小的，不大的
недовольный	不满意的
независимый	独立的，自主的
ненависть	痛恨，仇恨
необходимо	需要，必须
несерьёзный	不严肃的，不严重的
нести – понести	搬走，送走
нетерпение	不耐烦，焦急
неудобно	不舒适，不方便
никогда	永远不，从来不
ножницы	剪子，剪刀
носить имя	名字叫
ноты	音符，音调
нужный	需要的，必需的




О


обеденный	午饭的
обещать –
пообещать	答应，允诺
обижаться – обидеться	抱怨，见怪
обладать	拥有，占有
облетать –
облететь	飞遍，飞越，传播
обозначение	记号，符号
образование	建立，形成，教育
образованный	受过教育的
обратный	反向的，返回的
обращать – обратить внимание	请注意
обувь	鞋子
общая химия	一般化学
объективный	客观的
огромный	巨大的
одеваться – одеться	穿戴，打扮
однажды	一次，一回，有一次
одноклассник	同班同学
одноклассница	同班女同学
однокурсник	（大学）同年级同学
однокурсница	（大学）同年级女同学
озаглавливать – озаглавить	标上题目，题名那一个，上述的
оказывать –
оказать помощь	给以，加以帮助
оккупация	占领，侵占
около	在...旁边，附近
окружающий	周围的，附近的
олимпиада	奥运会
операционный	手术的，手续的，业务的
операция	作业，手术，战役，业务
определение несогласованное	不一致的决定
организовывать – организовать	组织,安排
органическая химия	有机化学
освобождать – освободить	释放，解放
осматривать – осмотреть	检查，细看
особенный	特别的，特殊的
оставлять –
оставить	离开，留下
останавливаться – остановиться	站住，停住
остров	岛
осуществляться – осуществиться	得到实现，实行，实施
отдых	休息
отдыхающий	休息的
отзывчивый	富有同情心的，有求必应的
открываться – открыться	被打开，出现，显露
открытый	开阔的，暴露的
открытый
космос	开阔的宇宙
отношение	关系
отражаться – отразиться	反映出来，显露出来
отрицание	否定
отрицательно	否定地
отряд	队，分队，支队
отсюда	从这里，由此
отходить – отойти	走开，离开
отъезжать –
отъехать	（乘马，车，船）离开
офицер	军官


П


память	记忆力，记性
парад	检阅，阅兵
паспорт	护照，身份证
пассажир	旅客，乘客
паста	糊，膏
патриот	爱国者
педагог	教师，教育家
первопечатник	最早的印刷者，印刷事业的奠基人
переезжать – переехать	通过，越过，迁徙
перелом	折断，转机
период	时期，周期
периодический закон	周期定律
персональный	个人的，有关个人的
пешком	步行
пианист	钢琴家
пианистка	女钢琴家
писательница	女作家
письменный	书面的，用文字写的
пить – выпить	喝，喝下
плавание	游泳
платить –
заплатить	支付，偿还
плита	方板，炉灶
плодотворно	富有成效地，有利于发展地
плодотворный	富有成效的，有利于发展的
площадь	广场，面积
победа	胜利
повесить	悬挂，吊起
погибать –
погибнуть	遇难，死亡
подбегать – подбежать	跑近，跑到下面
подводный	水下的，水底的，潜水的
поднимать – поднять	扶起，抬起，升高
подражать	模仿，仿效
подходить – подойти	接近，走近，驶近
позади	在...后面，在背后
поздний	晚的，很晚的
поздно	晚，迟到
поздравительный	祝贺的
поздравление	祝词，贺信
полдень	正午，中午
полезно	有意，有好处
политик	政治家
полость	腔，膛，孔穴
пользоваться – воспользоваться	使用，应用
получать –
получить	收到，获得
помнить	记得，记住
помощь	帮助
порошок	粉末
портфель	皮包，公文包
порядочный	正派的，端正的
посвящать – посвятить	告知，告诉
посвящённый	告知的
после	在...之后
последний	最近的，最后的，末尾的
пословица	谚语
посредине	在中间，在当中
поступать –
поступить	进入，参加，考上
посуда	器皿，容器，碗碟
похожий	相似的，类似的
похоронен	埋葬
похоронка	阵亡通知书
почетный	受人尊敬的
почтамт	邮政总局
прав	右
правая сторона	右面，右边
предатель	叛徒，背叛者
предикат	谓语，宾词
предлагать – предложить	表示，愿意，建议，提出问题
предлог	借口，托辞
представлять – представить	是，系，代表
преподавательница	女教师
прибор	仪器
привыкать – привыкнуть	习惯，适应
привычный	习惯的，熟悉的
пригласительный билет	请贴
приезд	来到，抵达
приём	接见
призвание	志向，才能，使命
приносить – принести	拿来，送来
приозёрный	湖边的
присылать – прислать	寄来，捎来
притяжательное местоимение	物主代词
приходить – прийти	来到，回来，到达
причёсываться – причесаться	给自己梳头发
приятный	令人高兴的，惬意的
пробовать – попробовать	试验，品尝
проводить – провести время	通过，度过，送别，送行
провожать – проводить	送别，送行
программный	纲领的，纲要的
прогулка	散步，闲游
продолжать – продолжить	继续，延长
продолжаться – продолжиться	持续，继续
проездной билет	乘车（船）用的票，证
проект	设计，方案
произведение	产品，作品，乘积
происходить – произойти	发生，产生，起源于
промышленный	工业的
пролетать – пролететь	飞过，飞越，驶行，驶过
проректор	副校长
просветитель	启蒙者，教育家
просить –
попросить	请求，邀请
простой	简单的，容易的
просыпаться – проснуться	睡醒，活跃起来
профессиональный	职业的
профессор	教授
проходить – пройти	通过，走过
прочный	坚固的，可靠的
прощаться – попрощаться	告别，告辞
пустыня	沙漠
путешествие	旅行。旅游
пылесос	吸尘器
пьеса	剧本


Р



работник	
工作者，工作人员
разделённый	分开的， 分离的
разрешать –
разрешить	准许，批准
разрушать – разрушить	毁坏，损坏
район	地区，区域
ракетка	网球拍， 乒乓球拍， 羽毛球拍
ранен	打伤
ранний	初期的， 早期的
раскинуться	伸开四肢躺着，分布
раскрывать – раскрыть	打开，张开，露出，告知，说明
рассматривать – рассмотреть	认为是，看清出，研究，分析
расставлять – расставить	处理，销毁，安排， 部署
расти – вырасти	长大，增高，加强
растительный мир	植物界
расчёска	梳子
ребёнок	孩子，儿童
революция	革命
редкий	稀疏的， 稀少的
реже, редкий	的比较级
режиссёр	导演
резать –
порезать	切开，割破
результат	结果，成果，效果
репетиция	排演，排练
рецепт	药方，处方，方法
решительно	完全，全部，根本
решительный	坚决的， 果断的
рис	米饭，大米
рисование	素描，图画
рисунок	画，图画
род	种类，族
родственник	亲戚，亲属
родственница	女亲戚，女亲属
рождественский	圣诞节的
Рождество	圣诞节
розовый	粉红色的
российский	俄罗斯的


С


садиться – сесть	坐下
самолёт	飞机
самостоятельный	独立的， 自主的
санаторий	疗养院
сборник	集，汇编
сверху	从上面， 从高处
светить	照耀，照亮
свободный	自由的
свой	自己的， 个人的
связанный	有联系的，受约束的
секция	部，分部，组
семейный	有家的， 家庭的
сердиться –
рассердиться	生气，发怒
серебристый	银色的
серия	批，套，组，一系列
сессия	议会，考试期
сжигать – сжечь	燃烧，烧毁
Сибирь	西伯利亚
сигарета	香烟，烟卷
сильнейший	有力的，健壮的
симпатичный	讨人喜欢的，动人的
симфонический	交响乐的
синхронный	同期的， 同步的
сказка	故事
сказуемое	谓语
скамейка	长凳
сквер	街心小公园
скорая помощь	急救，救护车
скорее всего	很可能， 多是
скрипка	小提琴
скульптура	雕刻，雕塑
скучать	感到寂寞，想念
слабый	力量小的，弱的
славяно-греко-латинский	斯拉夫－希腊－拉丁的
славянский	斯拉夫的，斯拉夫人的
слева	从左边， 在左边
служить	服务，任职，担任
слух	听觉
слышать –
услышать	听到，听见
смелый	勇敢的，大胆的
смерть	死亡
сметана	酸奶油
смолоду	从年轻时起，在年轻时
СНГ	独联体
снег	雪
событие	事件，事情
совесть	良心
советоваться – посоветоваться	咨询，请教，商量
соглашаться – согласиться	同意，赞同
содержание	内容，目录
содружество	友谊，友好，团结
Соединённые Штаты Америки	美利坚合众国
создатель	创始人
солнце	太阳
соловей	夜莺
сон	睡眠，梦
соревнование	竞赛，比赛
сотрудник	同事，撰稿者
сотрудничать	合作，共事
сотый	第一百
сохранять –
сохранить	存放，保存
спасать – спасти	拯救，抢救
спать – поспать	睡觉
спокойствие	安静
спор	争论，纠纷
способность	才干，本领
справедливость	公正，公平
спускаться – спуститься	降落，降下
сравнительная степень	比较级
сразу	立刻，马上
срочный	紧急的
ссориться –
поссориться	吵架
старик	老人，老头
степень	程度，比率
стиральный	洗衣用的
столик	小桌
страшный	可怕的， 吓人的
строитель	建筑工人
стройный	严整的， 匀称的
с трудом	勉强，很费力的
студенческий билет	学生证
стыд	惭愧，害羞
стыдиться	感到惭愧
суффикс	后缀
существовать	存在
сцена	戏台，舞台


Т


тайна	秘密
талант	天才， 有才能的人
тарелка	盘子，碟子
твёрдый	固体的， 坚硬的
творог	奶渣
творческий	创作的， 创造的
творчество	创作，作品
театр	戏剧，剧院
телеграмма	电报
телесериал	电视剧
телефонный	电话的
теннисист	网球运动员
теплее	热的 （比较级）
терапевт	内科技巧的
терять – потерять	阴影医生
технический	丢失，遗落
тень	技术的，
ток-шоу	脱口秀
тонометр	压力计
торшер	落地灯
точный	真实的， 准确的
трава	草，青草
трагедия	悲剧
требовательный	严厉的， 要求严格的
тренер	教练
трубка	耳机，管，听筒
труд	劳动
тушь	墨汁
тяжело	感到很重
тяжёлый	沉重的


У


уважаемый	尊敬的，敬爱的
уверенно	坚定地，有信心地
уверенный	坚定的， 有信心的
увлекаться – увлечься	入迷，钟情
увлечение	兴致，酷爱
уделять – уделить внимание	加以注意
удобно	方便，合适
удобный	方便的， 合适的
ужас	惊吓，惶恐，厉害， 不得了
ужасный	可怕的，吓人的
узкий	狭窄的
узнавать –
узнать	得知
улыбка	微笑，笑容
уметь	会，能， 善于
умирать –
умереть	死去，消失
умываться – умыться	洗脸，洗手
уникальный	独一无二的，唯一的
уничтожать – уничтожить	消灭，歼灭
Урал	乌拉尔山脉，乌拉尔河
утвердительный	肯定的
уточнять – уточнить	使更明确，使更准确
ухаживать	服侍，照料
уходить – уйти	走开，离开
участвовать	参加，分担
училище	学校
уютный	舒适的， 安适的


Ф
факс	传真
фактор	因素，要素
фантастический	充满幻想的，虚构的
фашизм	法西斯主义
фашист	法西斯分子
фестиваль	会演，联欢节
фигурное
катание	花样滑冰
филологический	语文学的
фломастер	泡沫塑料吸水笔
фотоальбом	相册
фотовыставка	摄影展览会
фронт	队列，队形，前面， 正面
фруктовый	水果的


Х


химический элемент	化学元素
ходить колесом	坐车走
хозяйка	女主人，
房东
холодный	寒冷的，
冷的
хоронить –
похоронить	埋葬
храниться	保存，保留
худой	瘦的
хуже	坏的 （比较级）


Ц


цветной	有色的，
带颜色的
целое число	整数




целый	完整的，
全体的
циркуль	圆规
цокольный этаж	底层


Ч


частый	茂密的， 急速的
чашечка	小碗，花萼
чашка	碗，杯
чаще, частый	的比较级
человечество	人类
чемодан	手提箱， 皮箱
чемпион	冠军
чемпионат	冠军赛
чемпионка	女冠军
Чёрное море	黑海
чертёж	图，图纸
чертить –
начертить	画出
честь	荣誉，名誉
читатель	读者


Ш


шпалеры	（军队）夹道列队，道路两旁的树
широкий	宽阔的


Щ


щётка	刷子

Э

экзаменационный	考试用的
экономический	经济的
экология	生态学
экономика	经济
эксперимент	试验，实验
электрический	电的，
电动的
эрудированный	博学的，
学士渊博的


Ю


ювелир	珠宝商，
首饰匠
южный	南方的，
南部的

юность	
少年时代，青春时期
юрист	律师

Я



яблоня	苹果树
ягода	野果
ядерный	核武器的，核能的
яичница	煎蛋
